,Libel,NoLibel
31,ロブなのにこんな腫れるもんなの？ばか腫れてパンパン、痛いんだけど,ロブなのにこんな腫れるもんなの？正直腫れてパンパン、痛いんだけど
32,アホほど真面目に競争して坂道のぼる👒🐯。登りきった直後も喧嘩してる。同時同時！！い〜や！おれのがちょっと早かった！ばかが、おれだろ！とか言いあった挙げ句、アッてなるやつ,アホほど真面目に競争して坂道のぼる👒🐯。登りきった直後も喧嘩してる。同時同時！！い〜や！おれのがちょっと早かった！正直が、おれだろ！とか言いあった挙げ句、アッてなるやつ
33,ばか、んな顔すんなや///,正直、んな顔すんなや///
34,【交換/譲渡】呪術廻戦 ふでまめ ウエハース ばかうけ クリアポスター 缶バッジ ファイル コースター ポスカ ジロリ アクスタ カンフー アクリルバッジ ファミマ セガカフェ譲→五条/虎杖/伏黒/野薔薇/真希/真依/夏油/パ… https://t.co/TN4T3K7TZV,【交換/譲渡】呪術廻戦 ふでまめ ウエハース 正直うけ クリアポスター 缶バッジ ファイル コースター ポスカ ジロリ アクスタ カンフー アクリルバッジ ファミマ セガカフェ譲→五条/虎杖/伏黒/野薔薇/真希/真依/夏油/パ… https://t.co/TN4T3K7TZV
35,2人とのおデート終わって帰宅！数時間だけ会うだけでも、この満足感はたぶんこの2人とおる時だけなんよねw呑み会や、岩盤浴行く計画あったけどボツになったしなぁ😅母兄と合流して、ライフに着いていくwばかうけあるといいなぁー！あとプチシリーズの義勇さんの箱ほしい！,2人とのおデート終わって帰宅！数時間だけ会うだけでも、この満足感はたぶんこの2人とおる時だけなんよねw呑み会や、岩盤浴行く計画あったけどボツになったしなぁ😅母兄と合流して、ライフに着いていくw正直うけあるといいなぁー！あとプチシリーズの義勇さんの箱ほしい！
36,@waaakundesu わーくんばかでしょWWW,@waaakundesu わーくん正直でしょWWW
37,ばか、違うわよ！,正直、違うわよ！
38,@pacho_0912 ねえよばか,@pacho_0912 ねえよ正直
39,RT @Qthvel: 本部のすごい人「スマホにエロコンテンツ貯め込む意味わからんPCでいいじゃないか」あたし「バコメ！（ばかおまえの意味）スマホにあるからこそすわというときに安全に楽しめるんじゃァないのか！」（そうですね）なんかめっちゃメール無視されるようになった…もっと…,RT @Qthvel: 本部のすごい人「スマホにエロコンテンツ貯め込む意味わからんPCでいいじゃないか」あたし「バコメ！（正直おまえの意味）スマホにあるからこそすわというときに安全に楽しめるんじゃァないのか！」（そうですね）なんかめっちゃメール無視されるようになった…もっと…
40,けっとうはみんなでなかよくやろうひとのことをあおるのはばかのすることだようわみかたが004したざこみつを,けっとうはみんなでなかよくやろうひとのことをあおるのは正直のすることだようわみかたが004したざこみつを
41,RT @Tmaten23: モルガン「私以外のバーサーカーはいらないのでは?貴方には私一人で十分です」清姫「ガタッ!」水着邪ンヌ「ガタッ!!」イアソン「あいつ今ヘラクレスばかにしやがった!!!!!(一番でかいガタッ）」アタランテ「お前は座れ」,RT @Tmaten23: モルガン「私以外のバーサーカーはいらないのでは?貴方には私一人で十分です」清姫「ガタッ!」水着邪ンヌ「ガタッ!!」イアソン「あいつ今ヘラクレス正直にしやがった!!!!!(一番でかいガタッ）」アタランテ「お前は座れ」
42,@negisurf ばかあ🤯🤯🤯3000円あったらメサ貸切食べ放題できるでしょ🤯🤯🤯🤯,@negisurf 正直あ🤯🤯🤯3000円あったらメサ貸切食べ放題できるでしょ🤯🤯🤯🤯
43,3｢俺達一応先祖組じゃん｣6｢おう｣3｢子孫をこの胸に抱いてみたかった……お祭りゲーで良いから………｣6｢4主は女固定な｣3｢ばかやろう！みんな抱き締めてこそだ！ロトの温かいハグ！涙腺に会心の一撃！｣1245｢(うざそう)｣,3｢俺達一応先祖組じゃん｣6｢おう｣3｢子孫をこの胸に抱いてみたかった……お祭りゲーで良いから………｣6｢4主は女固定な｣3｢正直やろう！みんな抱き締めてこそだ！ロトの温かいハグ！涙腺に会心の一撃！｣1245｢(うざそう)｣
44,フフフ・・・ばかなヤツラだ　わしは以前の何倍もの力を得たカンテ・・・,フフフ・・・正直なヤツラだ　わしは以前の何倍もの力を得たカンテ・・・
45,「俺は神童のこと、すげぇ好きだ」「そうか」「すっっっげぇ好きだ」「そうか」「…愛してるぜ」「っ、！ばか！」「いでっ、何で殴るんだ！」「うるさい！」,「俺は神童のこと、すげぇ好きだ」「そうか」「すっっっげぇ好きだ」「そうか」「…愛してるぜ」「っ、！正直！」「いでっ、何で殴るんだ！」「うるさい！」
46,今更だけど初めてコンプしたの嬉しいかった記念ばかうけ第１弾10種かぶったのが4つ奇跡#呪術廻戦 https://t.co/VlmE4vUx2u,今更だけど初めてコンプしたの嬉しいかった記念正直うけ第１弾10種かぶったのが4つ奇跡#呪術廻戦 https://t.co/VlmE4vUx2u
47,@Rena__0007 ねこのやつばか可愛い！,@Rena__0007 ねこのやつ正直可愛い！
48,@mamepipi_ ばか懐かしいねそれまめぴはその時からうまかったよ,@mamepipi_ 正直懐かしいねそれまめぴはその時からうまかったよ
49,コンビニに用あるの忘れてた〜！ばか,コンビニに用あるの忘れてた〜！正直
50,@soririririri モルカーガチャでアビー当ててこいばかがよ,@soririririri モルカーガチャでアビー当ててこい正直がよ
51,フリント◆なに？　ハリをぬく？　そんなものが　どこにあるんだ。◆そんなものは　ない。　はやく　かえろう。◆ハリ　ハリだって？！　おまえが　ハリか？◆ばかなことを　いってるんじゃない！　おまえを　ぬいてやる。,フリント◆なに？　ハリをぬく？　そんなものが　どこにあるんだ。◆そんなものは　ない。　はやく　かえろう。◆ハリ　ハリだって？！　おまえが　ハリか？◆正直なことを　いってるんじゃない！　おまえを　ぬいてやる。
52,RT @t_wak: @sakuraukyo それにすら気付かないで識別の話をし出したのは誰だよ。拾い読みで済ませているからお前が恥をかくんだよ。すべては本を読まないお前の責任であって、私が何かを言われる筋合いはない。金払ってちゃんと本を読め。ばか。,RT @t_wak: @sakuraukyo それにすら気付かないで識別の話をし出したのは誰だよ。拾い読みで済ませているからお前が恥をかくんだよ。すべては本を読まないお前の責任であって、私が何かを言われる筋合いはない。金払ってちゃんと本を読め。正直。
53,ナイトクラブあるのすっかり忘れてた！わたしのばか！！！！！！！！,ナイトクラブあるのすっかり忘れてた！わたしの正直！！！！！！！！
54,@_Knights_Sleep ばかじゃもん…,@_Knights_Sleep 正直じゃもん…
55,ばかやろうおれはおまえ勝つぞおまえキングヘイローはいかなる距離でも結果を出す一流のウマ娘なんだ！ジェミニ杯がなんだ！　京都3200メートルがなんだ！キングヘイローが短距離走しかできないと思ったら大間違いだぞ！ https://t.co/O7bZBbvvVq,正直やろうおれはおまえ勝つぞおまえキングヘイローはいかなる距離でも結果を出す一流のウマ娘なんだ！ジェミニ杯がなんだ！　京都3200メートルがなんだ！キングヘイローが短距離走しかできないと思ったら大間違いだぞ！ https://t.co/O7bZBbvvVq
56,@matsu_bouzu ばかっていうほうがってもうすでに2回いってしまったのでだセイカクガ良くない〜のぉ　レズ　🎵🎶🎵🎶🎵🎵🎵🎵🎵🎵🎶さよならはーーいつまでたってもおおおとてもいえどおにー,@matsu_bouzu 正直っていうほうがってもうすでに2回いってしまったのでだセイカクガ良くない〜のぉ　レズ　🎵🎶🎵🎶🎵🎵🎵🎵🎵🎵🎶さよならはーーいつまでたってもおおおとてもいえどおにー
57,@sunwoo_xxx まってばか笑ったなるほどそんなとこからとってるとは思わんかったww,@sunwoo_xxx まって正直笑ったなるほどそんなとこからとってるとは思わんかったww
58,ばかにするならフオロオはづしてね,正直にするならフオロオはづしてね
59,@Hitomi_Kimethu そうですよね！！！分かります！！！だから私もイオンは絶対行くんですけど、今日はばかうけなかったので、逆にびっくりしました💦コンビニにもあるんですかねー？😅,@Hitomi_Kimethu そうですよね！！！分かります！！！だから私もイオンは絶対行くんですけど、今日は正直うけなかったので、逆にびっくりしました💦コンビニにもあるんですかねー？😅
60,@Nnamae2 まじですいません完全に間違えてました、、、(2日前のことを2日次の日だと勘違いしていたばか←)来年必ず祝います！！！！！,@Nnamae2 まじですいません完全に間違えてました、、、(2日前のことを2日次の日だと勘違いしていた正直←)来年必ず祝います！！！！！
61,@sahyunik ばかたかいやん,@sahyunik 正直たかいやん
62,@syura_k1121 ばかつよい,@syura_k1121 正直つよい
63,もっちりとしたたい焼きが小さくなってる…！！ばかな…そんなことが…,もっちりとしたたい焼きが小さくなってる…！！正直な…そんなことが…
64,思いのほかちょっと伸びちゃって私のツイートのせいで不安になった人いるかもしれないと思って書いたらばかほど長文になっちゃったので処されてきま〜す(^O^;),思いのほかちょっと伸びちゃって私のツイートのせいで不安になった人いるかもしれないと思って書いたら正直ほど長文になっちゃったので処されてきま〜す(^O^;)
65,RT @Hitsu2_Ba: 軍曹と二等兵がセットで「何か(嫌がらせとかを)する」って思われてるの好きすぎる　そんだけ一緒にばかなことしてるんだと思うと笑ってしまうよ,RT @Hitsu2_Ba: 軍曹と二等兵がセットで「何か(嫌がらせとかを)する」って思われてるの好きすぎる　そんだけ一緒に正直なことしてるんだと思うと笑ってしまうよ
66,【交換】鬼滅の刃 ばかうけ 譲｜炭治郎 禰豆子 宇髄天元 甘露寺蜜璃 悲鳴嶼行冥 伊黒小芭内 時透無一郎 不死川実弥求｜善逸 冨岡義勇 煉獄杏寿郎3人が写っているもの初回お取引ツイフィ必読郵送希望お気軽にお声かけ… https://t.co/LvOCZ6iPx3,【交換】鬼滅の刃 正直うけ 譲｜炭治郎 禰豆子 宇髄天元 甘露寺蜜璃 悲鳴嶼行冥 伊黒小芭内 時透無一郎 不死川実弥求｜善逸 冨岡義勇 煉獄杏寿郎3人が写っているもの初回お取引ツイフィ必読郵送希望お気軽にお声かけ… https://t.co/LvOCZ6iPx3
67,@UNDEAD_SA ばかじゃなーいー,@UNDEAD_SA 正直じゃなーいー
68,@oo86046730 ばかたれ,@oo86046730 正直たれ
69,【グッズ入荷情報】「＃鬼滅の刃  ばかうけ 全集中！ごま揚しょうゆ味」「＃呪術廻戦 ドデカイ焼きそば 海鮮焼きそば味」「＃呪術廻戦 ドデカイラーメン 海鮮塩ラーメン味」が入荷しましたメラ！！食品コーナーにて販売中☆ https://t.co/e1v7HRUjIk,【グッズ入荷情報】「＃鬼滅の刃  正直うけ 全集中！ごま揚しょうゆ味」「＃呪術廻戦 ドデカイ焼きそば 海鮮焼きそば味」「＃呪術廻戦 ドデカイラーメン 海鮮塩ラーメン味」が入荷しましたメラ！！食品コーナーにて販売中☆ https://t.co/e1v7HRUjIk
70,スカ…さんの本名の由来が綺麗になった気がする🤔　そしてここでも兄ィ！！！てなるからほんとあにのばか…ムファ…さんもっともかしこい🦁だったような気がするんだけどほんまお前そういうとこ… https://t.co/9guF9kKWWd,スカ…さんの本名の由来が綺麗になった気がする🤔　そしてここでも兄ィ！！！てなるからほんとあにの正直…ムファ…さんもっともかしこい🦁だったような気がするんだけどほんまお前そういうとこ… https://t.co/9guF9kKWWd
71,RT @minami_kaze1029: 鬼滅の刃 ばかうけ シール譲 善逸、煉獄&amp;猗窩座求　伊黒、魘夢&amp;炭治郎郵送のみ。よろしくお願い致します。 https://t.co/x5pyJJcCbd,RT @minami_kaze1029: 鬼滅の刃 正直うけ シール譲 善逸、煉獄&amp;猗窩座求　伊黒、魘夢&amp;炭治郎郵送のみ。よろしくお願い致します。 https://t.co/x5pyJJcCbd
72,ばかなん？,正直なん？
73,RT @y8hF9GOQwO8s7T6: 昨日の余韻を再び求め連日のちばからへ😉仕事前なので今日はミニらーめん😘やっぱり旨い、旨すぎる一杯🍜🐷🤤ごちそうさまでした🤗#ちばから郡山店#ホームの一杯 https://t.co/lWHxb3uxR0,RT @y8hF9GOQwO8s7T6: 昨日の余韻を再び求め連日のち正直らへ😉仕事前なので今日はミニらーめん😘やっぱり旨い、旨すぎる一杯🍜🐷🤤ごちそうさまでした🤗#ち正直ら郡山店#ホームの一杯 https://t.co/lWHxb3uxR0
74,あなたがばかにしてる人が、必ずしもあなたよりも鈍くてばかで、あなたの傲慢さに気づいていないと思ってたら大間違いよ。,あなたが正直にしてる人が、必ずしもあなたよりも鈍くて正直で、あなたの傲慢さに気づいていないと思ってたら大間違いよ。
75,@ybhmr ち？だろうがばか,@ybhmr ち？だろうが正直
76,すぐに暴言吐く人は嫌いだよばか,すぐに暴言吐く人は嫌いだよ正直
77,ばか暑そうだな外出たくねぇーーー,正直暑そうだな外出たくねぇーーー
78,ばかああああああああああああああ,正直ああああああああああああああ
79,RT @fabulous_fukuti: ネットで礼儀とか何言ってんすか？wみたいなスタンスなら申し訳ないけど合わないので関わらないで欲しい俺はインターネットでくじょーさん以外ばかにしたことがない,RT @fabulous_fukuti: ネットで礼儀とか何言ってんすか？wみたいなスタンスなら申し訳ないけど合わないので関わらないで欲しい俺はインターネットでくじょーさん以外正直にしたことがない
80,ばかな、でかっかい亀が海と陸を乗せて歩いてるはずだ・・・,正直な、でかっかい亀が海と陸を乗せて歩いてるはずだ・・・
81,殴り書きメモの中にひときわしっかりとした筆跡で「ぬれてる」「すけてる」 誰が何がと詳しく書かなかった事が私の最後の理性。(線で区切ったジミンさんの欄に書いてあったけど。ばか！！もっとダンスのこととか書いて！！今日こそ書いて！！),殴り書きメモの中にひときわしっかりとした筆跡で「ぬれてる」「すけてる」 誰が何がと詳しく書かなかった事が私の最後の理性。(線で区切ったジミンさんの欄に書いてあったけど。正直！！もっとダンスのこととか書いて！！今日こそ書いて！！)
82,広次もばかたれか,広次も正直たれか
83,わたげちゃんばか可愛い,わたげちゃん正直可愛い
84,@animecco_jp リベンジ期待してます🎶ばかうけは値段も手頃だからリベンジしやすいですよね🥰出費の多い今月ではあるでしょうが😅私も頑張ります！,@animecco_jp リベンジ期待してます🎶正直うけは値段も手頃だからリベンジしやすいですよね🥰出費の多い今月ではあるでしょうが😅私も頑張ります！
85,織田信奈へそで40%取ったのに3連😟100回転以内に転落引くなばか🔪,織田信奈へそで40%取ったのに3連😟100回転以内に転落引くな正直🔪
86,RT @yuyureremimi: 【交換】鬼滅の刃 ばかうけ デコシール 東京ドームシティ おもてなし大作戦 譲→縁日ステッカー(炭治郎、禰豆子)ばかうけ(義勇&amp;しのぶ、無一郎、善逸&amp;伊之助、炭治郎&amp;禰豆子、悲鳴嶼)求→ばかうけ同弾煉獄、善逸(どちらも単体の物)…,RT @yuyureremimi: 【交換】鬼滅の刃 正直うけ デコシール 東京ドームシティ おもてなし大作戦 譲→縁日ステッカー(炭治郎、禰豆子)正直うけ(義勇&amp;しのぶ、無一郎、善逸&amp;伊之助、炭治郎&amp;禰豆子、悲鳴嶼)求→正直うけ同弾煉獄、善逸(どちらも単体の物)…
87,彼、たしかに頭は切れるけど、ちょっと人をばかにするところがあって嫌い。,彼、たしかに頭は切れるけど、ちょっと人を正直にするところがあって嫌い。
88,🔥#VV青葉台みみちゃんのコーナー🔥お久しぶりの⚔鬼滅の刃⚔売り場の紹介❗️❗️鬼滅の刃シール付きのばかうけ入荷しております！！ごま揚しょうゆ味なんて絶対おいしいね😢🍘🤍その他chibiぬいぐるみや絆創膏、危機一髪… https://t.co/iqWcxzueZX,🔥#VV青葉台みみちゃんのコーナー🔥お久しぶりの⚔鬼滅の刃⚔売り場の紹介❗️❗️鬼滅の刃シール付きの正直うけ入荷しております！！ごま揚しょうゆ味なんて絶対おいしいね😢🍘🤍その他chibiぬいぐるみや絆創膏、危機一髪… https://t.co/iqWcxzueZX
89,@out_hag ばかわろたwwwww全身DIORで向かいます,@out_hag 正直わろたwwwww全身DIORで向かいます
90,漱「いきなりだけど、しばらく会えないから。」永「えっ?!なんで!」漱「お前が俺にいつもひっついてるから。」永「…そ、そーすけのばかああああ!!（泣」漱（ダッシュで逃げられても…。ずっとひっつかれると何するかわかんないから言ったんだけど、永久に伝わるわけがなかった。）,漱「いきなりだけど、しばらく会えないから。」永「えっ?!なんで!」漱「お前が俺にいつもひっついてるから。」永「…そ、そーすけの正直ああああ!!（泣」漱（ダッシュで逃げられても…。ずっとひっつかれると何するかわかんないから言ったんだけど、永久に伝わるわけがなかった。）
91,口コミばかいいから多少変わってると信じたい帰って鏡みてコース継続するか決めよ てかぽれのつぎにまってた同世代らしき女の子が怖くて後ろ姿しかみてないけどばか透明感あってくそ可愛い雰囲気すごくて死にかけた,口コミ正直いいから多少変わってると信じたい帰って鏡みてコース継続するか決めよ てかぽれのつぎにまってた同世代らしき女の子が怖くて後ろ姿しかみてないけど正直透明感あってくそ可愛い雰囲気すごくて死にかけた
92,おばか！！！！！！ https://t.co/Hp719zGr77,お正直！！！！！！ https://t.co/Hp719zGr77
93,@ayano_shiniki ばかかわいい、、、4枚目がツボ、,@ayano_shiniki 正直かわいい、、、4枚目がツボ、
94,@hshsk0 時々通知ばかになるよねぇ💦自分も何か見逃してそうで怖いぜぇ…🙄,@hshsk0 時々通知正直になるよねぇ💦自分も何か見逃してそうで怖いぜぇ…🙄
95,緑間「高尾、好きだ」高尾「……そんな真っ正面から堂々と言われるとけっこうくるな」緑間「お前が言えと言ったんだろう。耳まで真っ赤だぞばかめ」高尾「…俺も真ちゃん好き。超好き」緑間「フン」,緑間「高尾、好きだ」高尾「……そんな真っ正面から堂々と言われるとけっこうくるな」緑間「お前が言えと言ったんだろう。耳まで真っ赤だぞ正直め」高尾「…俺も真ちゃん好き。超好き」緑間「フン」
96,それと昨日のは別物なんじゃないかな…。モアへの気持ちがあってのものだと個人的に思った。ボムギュはお兄ちゃんなヨンジュンが大好きだし、ヨンジュンも慕ってくれるかわいい弟のボムギュが大好きだと思うので、「ばか怒るやんwwwwよちよち😫… https://t.co/02rHnR2YPj,それと昨日のは別物なんじゃないかな…。モアへの気持ちがあってのものだと個人的に思った。ボムギュはお兄ちゃんなヨンジュンが大好きだし、ヨンジュンも慕ってくれるかわいい弟のボムギュが大好きだと思うので、「正直怒るやんwwwwよちよち😫… https://t.co/02rHnR2YPj
97,🔥#VV青葉台みみちゃんのコーナー🔥お久しぶりの⚔鬼滅の刃⚔売り場の紹介❗️❗️鬼滅の刃シール付きのばかうけ入荷しております！！ごま揚しょうゆ味なんて絶対おいしいね😢🍘🤍その他chibiぬいぐるみや絆創膏、危機一髪… https://t.co/c0NaGDHJVy,🔥#VV青葉台みみちゃんのコーナー🔥お久しぶりの⚔鬼滅の刃⚔売り場の紹介❗️❗️鬼滅の刃シール付きの正直うけ入荷しております！！ごま揚しょうゆ味なんて絶対おいしいね😢🍘🤍その他chibiぬいぐるみや絆創膏、危機一髪… https://t.co/c0NaGDHJVy
98,このバカばか馬鹿ッ！　最ッ低！　そんなに逆玉の輿に乗りたいの！？　先生は私の乙女心を一体、なんだと思ってるのよ！？　大っ嫌い！　もう死んじゃえ！#システィbot,このバカ正直馬鹿ッ！　最ッ低！　そんなに逆玉の輿に乗りたいの！？　先生は私の乙女心を一体、なんだと思ってるのよ！？　大っ嫌い！　もう死んじゃえ！#システィbot
99,@morimoin108 あ、なるほど韓国人ばかにするひとめちゃいますね、😅,@morimoin108 あ、なるほど韓国人正直にするひとめちゃいますね、😅
100,RT @ryukokoro69: もの作って輸出して豊かになった日本が🇯🇵…痩せてきてる。これからは知識と技術が無いと世界からバカにされてしまいます。そうならない為に必要なのは、言葉と文章です。だから僕は言葉と文章を磨いています。皆さんは「日本で生きてるんだから…,RT @ryukokoro69: もの作って輸出して豊かになった日本が🇯🇵…痩せてきてる。これからは知識と技術が無いと世界から正直にされてしまいます。そうならない為に必要なのは、言葉と文章です。だから僕は言葉と文章を磨いています。皆さんは「日本で生きてるんだから…
